name	length	species	type	subtype	description	classification
Arthur1A	177	Eutheria	DNA	hAT-Tip100	hAT-Tip100 DNA transposon, Arthur1A subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
Arthur1B	1225	Eutheria	DNA	hAT-Tip100	hAT-Tip100 DNA transposon, Arthur1B subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
Arthur1C	363	Eutheria	DNA	hAT-Tip100	hAT-Tip100 DNA transposon, Arthur1C subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
Arthur2	3700	Mammalia	DNA	hAT-Tip100	Repetitive element conserved in all mammals.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
B1F	149	Muridae	SINE	Alu	B1F repetitive element - an old subfamily consensus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1F1	149	Muridae	SINE	Alu	SINE1 from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1F2	149	Muridae	SINE	Alu	SINE1 from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mm	147	Mus_mouse_genus	SINE	Alu	Mus musculus B1 SINE element, consensus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mur1	149	Muridae	SINE	Alu	SINE1 from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mur2	149	Muridae	SINE	Alu	SINE1 from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mur3	149	Muridae	SINE	Alu	SINE1 from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mur4	150	Muridae	SINE	Alu	SINE1 from Muridae.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mus1	148	Mus_mouse_genus	SINE	Alu	Mus musculus B1 SINE element, consensus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B1_Mus2	147	Mus_mouse_genus	SINE	Alu	SINE1 from mouse.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
B2_Mm1a	193	Mus_mouse_genus	SINE	B2	Mus musculus B2 element.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent;B2
B2_Mm1t	193	Mus_mouse_genus	SINE	B2	Mus musculus B2 SINE element.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent;B2
B2_Mm2	195	Mus_mouse_genus	SINE	B2	Mus musculus B2 SINE element.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent;B2
B3	216	Muridae	SINE	B2	SINE element, B2 subfamily.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent;B2
B3A	198	Muridae	SINE	B2	SINE element, B2 subfamily.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent;B2
B4	292	Rodentia	SINE	B4	SINE Non-LTR Retrotransposon from rodents.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA;No-core;L1-dependent
B4A	292	Rodentia	SINE	B4	SINE2/tRNA SINE from rodents.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA;No-core;L1-dependent
BARI1	1689	Drosophila_fruit_fly_genus	DNA	TcMar-Tc1	Drosophila erecta clone Er1 inactive Bari-1 family transposon.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
BARI_DM	1728	Drosophila_fruit_fly_genus	DNA	TcMar-Tc1	D.melanogaster Bari-1 mobile element DNA.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
BATUMI_I	7963	Drosophila_fruit_fly_genus	LTR	Pao	BATUMI_I is an internal portion of BATUMI endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BATUMI_LTR	272	Drosophila_fruit_fly_genus	LTR	Pao	BATUMI_LTR is a long terminal repeat from BATUMI endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BC1_Mm	152	Mus_mouse_genus	SINE	ID	Mouse neural specific BC1 RNA and ID repetitive sequence.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent
BC200	145	Primates	SINE	Alu	Alu-related SINE/putative ncRNA gene	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
BEL-16_DR-I	5784	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-16_DR-LTR	853	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-26_DR-I	6183	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-26_DR-LTR	701	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-37-I_DR	4022	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-37-LTR_DR	443	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-38-I_DR	6551	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-38-LTR_DR	314	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-39_DRe-I	6946	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-39_DRe-LTR	584	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-40_DRe-I	6677	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-40_DRe-LTR	527	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-41_DRe-I	7033	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-41_DRe-LTR	383	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-42_DRe-I	6632	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-42_DRe-LTR	424	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-43_DRe-I	6640	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-43_DRe-LTR	327	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-44_DRe-I	6382	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-44_DRe-LTR	349	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-45_DRe-I	5800	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-45_DRe-LTR	441	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-46_DRe-I	5818	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-46_DRe-LTR	656	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-47_DRe-I	6527	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-47_DRe-LTR	509	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-48_DRe-I	5992	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-48_DRe-LTR	806	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: long terminal repeat	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
BEL-49_DRe-I	5845	Danio_rerio	LTR	Pao	LTR retrotransposon from zebrafish: internal sequence	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao
